bib_key,sr_id,sr_doi,refnum,year,doi,url,source,raw
Schopow2023_ref0020,Schopow2023,10.2196/48933,20,2018,10.1001/jama.2017.18391,,,"Beam AL, Kohane IS. Big data and machine learning in health care. JAMA 2018 Apr 03;319(13):1317-1318 [doi:
10.1001/jama.2017.18391] [Medline: 29532063]"
Shankar2025_ref0038,Shankar2025,10.1038/s41746-025-01527-z,38,2025,10.1002/alz.078877,https://doi.org/10.1002/alz.078877,,"Wang, L. et al. Evaluating depressive symptoms and risk of cognitive decline using longitudinal electronic health records. Alzheimers Dement. 19 https://doi.org/10.1002/alz.078877 (2023)."
Schopow2023_ref0040,Schopow2023,10.2196/48933,40,2021,10.1002/clc.23687,,,"Berman A, Biery D, Ginder C, Hulme O, Marcusa D, Leiva O, et al. Natural language processing for the assessment of
cardiovascular disease comorbidities: The cardio-Canary comorbidity project. Clin Cardiol 2021 Sep;44(9):1296-1304
[FREE Full text] [doi: 10.1002/clc.23687] [Medline: 34347314]"
Necula2024_ref0100,Necula2024,10.3390/electronics13112055,100,2016,10.1002/smr.1772,https://doi.org/10.1002/smr.1772,,"De Gea Carrillo, J.M.; Nicolás, J.; Fernández Alemán, J.L.F.; Toval, A.; Ouhbi, S.; Idri, A. Co-located and distributed naturallanguage requirements speciﬁcation: Traditional versus reuse-based techniques: Co-Located and Distributed Natural-Language 
Requirements Speciﬁcation. J. Softw. Evol. Process 2016, 28, 205–227. https://doi.org/10.1002/smr.1772."
Necula2024_ref0048,Necula2024,10.3390/electronics13112055,48,2022,10.1002/smr.2430,https://doi.org/10.1002/smr.2430,,"Kaur, K.; Kaur, P. SABDM: A self-attention based bidirectional-RNN deep model for requirements classiﬁcation. J. Softw. Evol. 
Process 2022, 36, e2430. https://doi.org/10.1002/smr.2430."
Necula2024_ref0072,Necula2024,10.3390/electronics13112055,72,2006,10.1007/11765448_2,https://doi.org/10.1007/11765448_2,,"Choi, S.; Park, S.; Sugumaran, V. Function point extraction method from goal and scenario based requirements text. In Natural 
Language Processing and Information Systems, Proceedings of the 11th International Conference on Applications of Natural Language to 
Information Systems, Klagenfurt, Austria, 31 May–2 June 2006; Springer: Berlin/Heidelberg, Germany, 2006; pp. 12–24. 
https://doi.org/10.1007/11765448_2."
Dahl2025_ref0023,Dahl2025,10.2196/68707,23,2021,10.1007/978-3-030-850302_3,,,"López-García G, Jerez JM, Ribelles N, Alba E, Veredas FJ. Detection of tumor morphology mentions in clinical reports
in Spanish using transformers. In: Advances in Computational Intelligence. 2021:24-35. [doi: 10.1007/978-3-030-850302_3] ISBN: 9783030850296"
Necula2024_ref0106,Necula2024,10.3390/electronics13112055,106,2022,10.1007/978-3-031-06417-3_56,https://doi.org/10.1007/978-3-031-06417-3_56,,"Kersting, J.; Ahmed, M.; Geierhos, M. Chatbot-Enhanced Requirements Resolution for Automated Service Compositions. In 
Communications in Computer and Information Science; Stephanidis, C., Antona, M., Ntoa, S., Eds.; Springer Science and Business 
Media Deutschland GmbH: Berlin/Heidelberg, Germany, 2022; pp. 419–426. https://doi.org/10.1007/978-3-031-06417-3_56."
Necula2024_ref0034,Necula2024,10.3390/electronics13112055,34,2023,10.1007/978-3-03129786-1_11,https://doi.org/10.1007/978-3-03129786-1_11,,"Limaylla-Lunarejo, M.-I.; Condori-Fernandez, N.; Luaces, M.R. Requirements Classiﬁcation Using FastText and BETO in Spanish Documents. In Requirements Engineering: Foundation for Software Quality; Ferrari, A., Penzenstadler, B., Eds.; Lecture Notes in 
Computer Science; Springer Nature: Cham, Switzerland, 2023; Volume 13975, pp. 159–176. https://doi.org/10.1007/978-3-03129786-1_11."
Necula2024_ref0096,Necula2024,10.3390/electronics13112055,96,2004,10.1007/978-3-540-28640-0_48,https://doi.org/10.1007/978-3-540-28640-0_48,,"Cascini, G.; Fantechi, A.; Spinicci, E. Natural Language Processing of Patents and Technical Documentation. In Document Analysis Systems VI; Marinai, S., Dengel, A.R., Eds.; Lecture Notes in Computer Science; Springer: Berlin/Heidelberg, Germany, 2004; 
Volume 3163, pp. 508–520. https://doi.org/10.1007/978-3-540-28640-0_48."
