key,sr_refnum,has_title,has_author,source,title_confidence,author_confidence,needs_human_review,problem_reason
Cho2024_ref0001,1,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0002,2,true,true,local,0.60,0.55,false,from_first_segment
Cho2024_ref0003,3,true,true,local,0.60,0.55,false,from_first_segment
Cho2024_ref0004,4,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0005,5,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0006,6,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0007,7,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0008,8,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0009,9,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0010,10,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0011,11,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0012,12,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0013,13,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0014,14,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0015,15,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0016,16,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0017,17,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0018,18,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0019,19,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0020,20,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0021,21,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0022,22,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0023,23,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0024,24,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0025,25,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0026,26,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0027,27,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0028,28,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0029,29,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0030,30,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0031,31,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0032,32,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0033,33,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0034,34,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0035,35,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0036,36,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0037,37,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0038,38,true,true,local,0.60,0.55,false,from_first_segment
Cho2024_ref0039,39,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0040,40,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0041,41,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0042,42,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0043,43,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0044,44,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0045,45,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0046,46,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0047,47,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0048,48,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0049,49,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0050,50,true,true,local,0.60,0.55,false,from_first_segment
Cho2024_ref0051,51,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0052,52,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0053,53,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0054,54,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0055,55,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0056,56,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0057,57,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0058,58,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0059,59,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0060,60,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0061,61,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0062,62,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0063,63,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0064,64,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0065,65,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0066,66,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0067,67,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0068,68,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0069,69,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0070,70,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0071,71,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0072,72,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0073,73,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0074,74,true,true,local,0.60,0.55,false,from_first_segment
Cho2024_ref0075,75,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0076,76,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0077,77,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0078,78,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0079,79,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0080,80,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0081,81,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0082,82,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0083,83,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0084,84,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0085,85,true,true,local,0.75,0.55,false,from_after_authors
Cho2024_ref0086,86,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0087,87,true,true,crossref,0.60,0.85,false,from_first_segment
Cho2024_ref0088,88,true,true,crossref,0.90,0.85,false,from_after_authors
Cho2024_ref0089,89,true,true,local,0.60,0.55,false,from_first_segment
Cho2024_ref0090,90,true,true,local,0.75,0.55,false,from_after_authors
