key,sr_refnum,has_title,has_author,source,title_confidence,author_confidence,needs_human_review,problem_reason
Shankar2025_ref0001,1,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0002,2,true,true,crossref,0.90,0.85,false,from_after_authors
Shankar2025_ref0003,3,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0004,4,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0005,5,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0006,6,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0007,7,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0008,8,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0009,9,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0010,10,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0011,11,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0012,12,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0013,13,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0014,14,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0015,15,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0016,16,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0017,17,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0018,18,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0019,19,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0020,20,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0021,21,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0022,22,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0023,23,true,true,crossref,0.90,0.85,false,from_after_authors
Shankar2025_ref0024,24,true,true,crossref,0.60,0.85,false,from_first_segment
Shankar2025_ref0025,25,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0026,26,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0027,27,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0028,28,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0029,29,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0030,30,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0031,31,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0032,32,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0033,33,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0034,34,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0035,35,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0036,36,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0037,37,true,true,local,0.75,0.55,false,from_after_authors
Shankar2025_ref0038,38,true,true,crossref,0.90,0.85,false,from_after_authors
