sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Chen2026,10.1038/s41746-026-02409-8,1,2025,,https://www.fda.gov/news-events/press-announcements/fdaissues-comprehensive-draft-guidance-developers-artificial-intelligence-enabledmedical-devices,"FDA. FDA Issues Comprehensive Draft Guidance for Developers of Artificial IntelligenceEnabled Medical Devices, https://www.fda.gov/news-events/press-announcements/fdaissues-comprehensive-draft-guidance-developers-artificial-intelligence-enabledmedical-devices (2025).",Chen2026_ref0001
Chen2026,10.1038/s41746-026-02409-8,2,2024,,,"Levine, D. M. et al. The diagnostic and triage accuracy of the GPT-3 artificial intelligence 
model: an observational study. Lancet Digit Health 6, e555-e561 (2024).",Chen2026_ref0002
Chen2026,10.1038/s41746-026-02409-8,3,2013,,,"Graber, M. L. The incidence of diagnostic error in medicine. BMJ Qual Saf 22 Suppl 2, 
ii21-ii27 (2013).",Chen2026_ref0003
Chen2026,10.1038/s41746-026-02409-8,4,2022,,,"Nguyen, H., Meczner, A., Burslam-Dawe, K. & Hayhoe, B. Triage Errors in Primary and PrePrimary Care. J Med Internet Res 24, e37209 (2022).",Chen2026_ref0004
Chen2026,10.1038/s41746-026-02409-8,5,2024,,,"Bedi, S. et al. Testing and Evaluation of Health Care Applications of Large Language 
Models: A Systematic Review. JAMA 333, 319-328 (2024).",Chen2026_ref0005
Chen2026,10.1038/s41746-026-02409-8,6,2023,,,"Kulkarni, P. A. & Singh, H. Artificial Intelligence in Clinical Diagnosis: Opportunities, 
Challenges, and Hype. JAMA 330, 317-318 (2023).",Chen2026_ref0006
Chen2026,10.1038/s41746-026-02409-8,7,2024,,,"Liu, M. et al. Performance of ChatGPT Across Different Versions in Medical Licensing 
Examinations Worldwide: Systematic Review and Meta-Analysis. J Med Internet Res 26, 
e60807 (2024).",Chen2026_ref0007
Chen2026,10.1038/s41746-026-02409-8,8,2023,,,"Kanjee, Z., Crowe, B. & Rodman, A. Accuracy of a Generative Artificial Intelligence Model 
in a Complex Diagnostic Challenge. JAMA 330, 78-80 (2023).",Chen2026_ref0008
Chen2026,10.1038/s41746-026-02409-8,9,2025,,,"Kim, S. H. et al. Benchmarking the diagnostic performance of open source LLMs in 1933 
Eurorad case reports. NPJ Digit Med 8, 97 (2025).",Chen2026_ref0009
Chen2026,10.1038/s41746-026-02409-8,10,2025,,,"Takita, H. et al. A systematic review and meta-analysis of diagnostic performance 
comparison between generative AI and physicians. NPJ Digit Med 8, 175 (2025).",Chen2026_ref0010
