sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Cho2024,10.2196/49724,1,2024,,https://arxiv.org/abs/1706.03762,"Vaswani A, Shazeer N, Parmar N, Uszkoreit J, Jones L, Gomez A, et al. Attention Is All You Need. arXiv. 2017. URL:
https://arxiv.org/abs/1706.03762 [accessed 2024-10-26]",Cho2024_ref0001
Cho2024,10.2196/49724,2,2024,,https://cdn.openai.com/papers/gpt-4.pdf,GPT-4 Technical Report. OpenAI. 2023. URL: https://cdn.openai.com/papers/gpt-4.pdf [accessed 2024-10-26],Cho2024_ref0002
Cho2024,10.2196/49724,3,2019,,https://aclanthology.org/N19-1423/,"Devlin J, Chang MW, Lee K, Toutanova K. BERT: Pre-training of Deep Bidirectional Transformers for Language
Understanding. In: Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational
Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers). 2019. Presented at: 2019 Conference of
the North American Chapter of the Association for Computational Linguistics; June 3-5, 2019; Minneapolis, Minnesota.
URL: https://aclanthology.org/N19-1423/",Cho2024_ref0003
Cho2024,10.2196/49724,4,2021,10.1093/bioinformatics/btab083,,"Ji Y, Zhou Z, Liu H, Davuluri R. DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model
for DNA-language in genome. Bioinformatics. Aug 09, 2021;37(15):2112-2120. [FREE Full text] [doi:
10.1093/bioinformatics/btab083] [Medline: 33538820]",Cho2024_ref0004
Cho2024,10.2196/49724,5,2024,10.1101/2021.03.02.21252747v1.full,https://www.medrxiv.org/content/10.1101/2021.03.02.21252747v1.full,"Pandey C. redBERT: A Topic Discovery and Deep Sentiment Classification Model on COVID-19 Online Discussions
Using BERT NLP Model. medRxiv. 2021. URL: https://www.medrxiv.org/content/10.1101/2021.03.02.21252747v1.full.
pdf [accessed 2024-10-26]",Cho2024_ref0005
Cho2024,10.2196/49724,6,2015,10.5815/ijitcs.2015.08.07,,"Iroju OG, Olaleke JO. A systematic review of natural language processing in healthcare. IJITCS. Jul 08, 2015;7(8):44-50.
[doi: 10.5815/ijitcs.2015.08.07]",Cho2024_ref0006
Cho2024,10.2196/49724,7,2021,10.1016/j.tacc.2021.02.007,,"Locke S, Bashall A, Al-Adely S, Moore J, Wilson A, Kitchen G. Natural language processing in medicine: A review. Trends
in Anaesthesia and Critical Care. Jun 2021;38:4-9. [FREE Full text] [doi: 10.1016/j.tacc.2021.02.007]",Cho2024_ref0007
Cho2024,10.2196/49724,8,2018,,,"Adyashreem M, Rajatha K, Rakesh K. Survey on NLP Techniques in Biomedical field. International Journal of Scientific
Research in Computer Science Applications and Management Studies. 2018:7.",Cho2024_ref0008
Cho2024,10.2196/49724,9,2018,10.1109/ICIEA.2018.8398172,,"Wang S, Ren F, Lu H. A review of the application of natural language processing in clinical medicine. 2018. Presented at:
13th IEEE Conference on Industrial Electronics and Applications (ICIEA); May 31-June 02, 2018; Wuhan, China. [doi:
10.1109/ICIEA.2018.8398172]",Cho2024_ref0009
Cho2024,10.2196/49724,10,2022,10.11817/j.issn.1672-7347.2022.220376,,"Liu Z, He M, Jiang Z, Wu Z, Dai H, Zhang L, et al. Survey on natural language processing in medical image analysis.
Zhong Nan Da Xue Xue Bao Yi Xue Ban. Aug 28, 2022;47(8):981-993. [doi: 10.11817/j.issn.1672-7347.2022.220376]
[Medline: 36097765]",Cho2024_ref0010
