sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Dahl2025,10.2196/68707,1,2016,10.15265/IYS-2016-s006,,"Evans RS. Electronic health records: then, now, and in the future. Yearb Med Inform. May 20, 2016;Suppl 1(Suppl
1):S48-61. [doi: 10.15265/IYS-2016-s006] [Medline: 27199197]",Dahl2025_ref0001
Dahl2025,10.2196/68707,2,2023,,,"Ruckdeschel JC, Riley M, Parsatharathy S, et al. Unstructured data are superior to structured data for eliciting
quantitative smoking history from the electronic health record. JCO Clin Cancer Inform. Feb 2023;7:e2200155. [doi: 10.
1200/CCI.22.00155] [Medline: 36809022]",Dahl2025_ref0002
Dahl2025,10.2196/68707,3,2023,10.1007/s10115-022-01779-1,,"Landolsi MY, Hlaoua L, Ben Romdhane L. Information extraction from electronic medical documents: state of the art
and future research directions. Knowl Inf Syst. 2023;65(2):463-516. [doi: 10.1007/s10115-022-01779-1] [Medline:
36405956]",Dahl2025_ref0003
Dahl2025,10.2196/68707,4,2014,10.1016/j.ijmedinf.2014.06.009,,"Spasić I, Livsey J, Keane JA, Nenadić G. Text mining of cancer-related information: review of current status and future
directions. Int J Med Inform. Sep 2014;83(9):605-623. [doi: 10.1016/j.ijmedinf.2014.06.009] [Medline: 25008281]",Dahl2025_ref0004
Dahl2025,10.2196/68707,5,2021,10.1093/jamiaopen/,,"Hong JC, Fairchild AT, Tanksley JP, Palta M, Tenenbaum JD. Natural language processing for abstraction of cancer
treatment toxicities: accuracy versus human experts. JAMIA Open. Feb 15, 2021;3(4):513-517. [doi: 10.1093/jamiaopen/
ooaa064]",Dahl2025_ref0005
Dahl2025,10.2196/68707,6,2021,10.2196/27970,,"Yu S, Le A, Feld E, et al. A natural language processing-assisted extraction system for Gleason scores: development and
usability study. JMIR Cancer. Jul 2, 2021;7(3):e27970. [doi: 10.2196/27970] [Medline: 34255641]",Dahl2025_ref0006
Dahl2025,10.2196/68707,7,2021,10.1200/CCI.20.00139,,"Alkaitis MS, Agrawal MN, Riely GJ, Razavi P, Sontag D. Automated NLP extraction of clinical rationale for treatment
discontinuation in breast cancer. JCO Clin Cancer Inform. May 2021;5(5):550-560. [doi: 10.1200/CCI.20.00139]
[Medline: 33989016]",Dahl2025_ref0007
Dahl2025,10.2196/68707,8,2023,10.1200/CCI.22,,"Benson R, Winterton C, Winn M, et al. Leveraging natural language processing to extract features of colorectal polyps
from pathology reports for epidemiologic study. JCO Clin Cancer Inform. Jan 2023;7:e2200131. [doi: 10.1200/CCI.22.
00131] [Medline: 36753686]",Dahl2025_ref0008
Dahl2025,10.2196/68707,9,2018,,,"Si Y, Roberts K. A frame-based NLP system for cancer-related information extraction. AMIA Annu Symp Proc.
2018;2018:1524-1533. [Medline: 30815198]",Dahl2025_ref0009
Dahl2025,10.2196/68707,10,2018,,,"AAlAbdulsalam AK, Garvin JH, Redd A, Carter ME, Sweeny C, Meystre SM. Automated extraction and classification
of cancer stage mentions from unstructured text fields in a central cancer registry. AMIA Jt Summits Transl Sci Proc.
2018;2017:16-25. [Medline: 29888032]",Dahl2025_ref0010
