sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Malgaroli2023,10.1038/s41398-023-02592-2,1,2023,,,"James SL, Abate D, Abate KH, Abay SM, Abbafati C, Abbasi N, et al. Global,
regional, and national incidence, prevalence, and years lived with disability for
354 diseases and injuries for 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017. Lancet.
2018;392:1789–858.
M. Malgaroli et al.
13
Translational Psychiatry  (2023) 13:309",Malgaroli2023_ref0001
Malgaroli2023,10.1038/s41398-023-02592-2,2,2020,,,"Figueroa JF, Phelan J, Orav EJ, Patel V, Jha AK. Association of mental health
disorders with health care spending in the medicare population. JAMA Netw
Open. 2020;3:e201210.",Malgaroli2023_ref0002
Malgaroli2023,10.1038/s41398-023-02592-2,3,2008,,,"Miranda J, McGuire TG, Williams DR, Wang P. Mental health in the context of
health disparities. AJP. 2008;165:1102–8.",Malgaroli2023_ref0003
Malgaroli2023,10.1038/s41398-023-02592-2,4,2020,,,Health TLG. Mental health matters. Lancet Glob Health. 2020;8:e1352.,Malgaroli2023_ref0004
Malgaroli2023,10.1038/s41398-023-02592-2,5,2006,,,"Association AP, others. American Psychiatric Association Practice Guidelines for
the treatment of psychiatric disorders: compendium 2006. American Psychiatric
Pub; 2006.",Malgaroli2023_ref0005
Malgaroli2023,10.1038/s41398-023-02592-2,6,2012,,,"Cuijpers P, Driessen E, Hollon SD, van Oppen P, Barth J, Andersson G. The
efﬁcacy of non-directive supportive therapy for adult depression: a metaanalysis. Clin Psychol Rev. 2012;32:280–91.",Malgaroli2023_ref0006
Malgaroli2023,10.1038/s41398-023-02592-2,7,2017,,,"Firth J, Torous J, Nicholas J, Carney R, Pratap A, Rosenbaum S, et al. The efﬁcacy
of smartphone-based mental health interventions for depressive symptoms: a
meta-analysis of randomized controlled trials. World Psychiatry. 2017;16:287–98.",Malgaroli2023_ref0007
Malgaroli2023,10.1038/s41398-023-02592-2,8,2008,,,"DeRubeis RJ, Siegle GJ, Hollon SD. Cognitive therapy versus medication for
depression: treatment outcomes and neural mechanisms. Nat Rev Neurosci.
2008;9:788–96.",Malgaroli2023_ref0008
Malgaroli2023,10.1038/s41398-023-02592-2,9,2009,,,"Cunningham PJ. Beyond parity: primary care physicians’ perspectives on access
to mental health care. Health Aff. 2009;28:w490–w501.",Malgaroli2023_ref0009
Malgaroli2023,10.1038/s41398-023-02592-2,10,2021,,,"SAMHSA. Key substance use and mental health indicators in the United States:
results from the 2019 National Survey on Drug Use and Health. 2021 https://
digitalcommons.ﬁu.edu/srhreports/health/health/32.",Malgaroli2023_ref0010
Malgaroli2023,10.1038/s41398-023-02592-2,11,2007,,,"Wang PS, Aguilar-Gaxiola S, Alonso J, Angermeyer MC, Borges G, Bromet EJ,
et al. Use of mental health services for anxiety, mood, and substance disorders
in
17
countries
in
the
WHO
world
mental
health
surveys.
Lancet.
2007;370:841–50.",Malgaroli2023_ref0011
Malgaroli2023,10.1038/s41398-023-02592-2,12,2018,,,"Insel TR. Digital phenotyping: a global tool for psychiatry. World Psychiatry.
2018;17:276–7.",Malgaroli2023_ref0012
Malgaroli2023,10.1038/s41398-023-02592-2,13,2015,,,"Johnsen TJ, Friborg O. The effects of cognitive behavioral therapy as an antidepressive treatment is falling: a meta-analysis. Psychol. Bull. 2015;141:747.",Malgaroli2023_ref0013
Malgaroli2023,10.1038/s41398-023-02592-2,14,2018,,,"Kilbourne AM, Beck K, Spaeth-Rublee B, Ramanuj P, O’Brien RW, Tomoyasu N,
et al. Measuring and improving the quality of mental health care: a global
perspective. World Psychiatry. 2018;17:30–8.",Malgaroli2023_ref0014
Malgaroli2023,10.1038/s41398-023-02592-2,15,2014,,,"Tracey TJG, Wampold BE, Lichtenberg JW, Goodyear RK. Expertise in psychotherapy: an elusive goal? Am Psychol. 2014;69:218–29.",Malgaroli2023_ref0015
Malgaroli2023,10.1038/s41398-023-02592-2,16,2015,,,"Wampold BE, Imel I Zac E. The great psychotherapy debate: Models, methods,
and ﬁndings. 2nd ed. Routledge/Taylor & Francis Group; 2015.",Malgaroli2023_ref0016
Malgaroli2023,10.1038/s41398-023-02592-2,17,2015,,,"Douthit N, Kiv S, Dwolatzky T, Biswas S. Exposing some important barriers to
health care access in the rural USA. Public Health. 2015;129:611–20.",Malgaroli2023_ref0017
Malgaroli2023,10.1038/s41398-023-02592-2,18,2007,,,"Saraceno B, van Ommeren M, Batniji R, Cohen A, Gureje O, Mahoney J, et al.
Barriers to improvement of mental health services in low-income and middleincome countries. Lancet. 2007;370:1164–74.",Malgaroli2023_ref0018
Malgaroli2023,10.1038/s41398-023-02592-2,19,2021,,,"Heisler EJ, Bagalman E. The Mental Health Workforce: A Primer. 2018. https://
ecommons.cornell.edu/handle/1813/79417 (Accessed 7 Oct 2021).",Malgaroli2023_ref0019
Malgaroli2023,10.1038/s41398-023-02592-2,20,2015,,,"LeCun Y, Bengio Y, Hinton G. Deep learning. Nature. 2015;521:436–44.",Malgaroli2023_ref0020
Malgaroli2023,10.1038/s41398-023-02592-2,21,2018,,,"Hosny A, Parmar C, Quackenbush J, Schwartz LH, Aerts HJWL. Artiﬁcial intelligence in radiology. Nat Rev Cancer. 2018;18:500–10.",Malgaroli2023_ref0021
Malgaroli2023,10.1038/s41398-023-02592-2,22,2020,,,"Schaffter T, Buist DSM, Lee CI, Nikulin Y, Ribli D, Guan Y, et al. Evaluation of
combined artiﬁcial intelligence and radiologist assessment to interpret screening mammograms. JAMA Netw Open. 2020;3:e200265.",Malgaroli2023_ref0022
Malgaroli2023,10.1038/s41398-023-02592-2,23,2019,,,"Hogarty DT, Mackey DA, Hewitt AW. Current state and future prospects of
artiﬁcial intelligence in ophthalmology: a review. Clin Exp Ophthalmol.
2019;47:128–39.",Malgaroli2023_ref0023
Malgaroli2023,10.1038/s41398-023-02592-2,24,2020,,,"Schultebraucks K, Shalev AY, Michopoulos V, Grudzen CR, Shin S-M, Stevens JS,
et al. A validated predictive algorithm of post-traumatic stress course following
emergency department admission after a traumatic stressor. Nat Med.
2020;26:1084–8.",Malgaroli2023_ref0024
Malgaroli2023,10.1038/s41398-023-02592-2,25,2018,,,"Dwyer DB, Falkai P, Koutsouleris N. Machine learning approaches for clinical
psychology and psychiatry. Annu Rev Clin Psychol. 2018;14:91–118.",Malgaroli2023_ref0025
Malgaroli2023,10.1038/s41398-023-02592-2,26,2008,,,"Jurafsky D, Martin JH. Speech and Language Processing: An introduction to
speech recognition, computational linguistics and natural language processing.
1st ed. Prentice-Hall; 2008.",Malgaroli2023_ref0026
Malgaroli2023,10.1038/s41398-023-02592-2,27,1999,,,"Manning C, Schutze H. Foundations of statistical natural language processing.
1st ed. MIT Press; 1999.",Malgaroli2023_ref0027
Malgaroli2023,10.1038/s41398-023-02592-2,28,2017,,,"Imel ZE, Caperton DD, Tanana M, Atkins DC. Technology-enhanced human
interaction in psychotherapy. J Counseling Psychol. 2017;64:385.",Malgaroli2023_ref0028
Malgaroli2023,10.1038/s41398-023-02592-2,29,2008,,,Oyebode F Sims’ symptoms in the mind: an introduction to descriptive psychopathology. Elsevier Health Sciences; 2008.,Malgaroli2023_ref0029
Malgaroli2023,10.1038/s41398-023-02592-2,30,2010,,,"Tausczik YR, Pennebaker JW. The Psychological Meaning of Words: LIWC and
Computerized Text Analysis Methods. J Lang Soc Psychol. 2010;29:24–54.",Malgaroli2023_ref0030
Malgaroli2023,10.1038/s41398-023-02592-2,31,2014,,,"Cho K, van Merriënboer B, Bahdanau D, Bengio Y. On the properties of neural
machine translation: Encoder–Decoder approaches. Proceedings of SSST-8,
eighth workshop on syntax, semantics and structure in statistical translation.
Doha, Qatar: Association for Computational Linguistics; 2014. p. 103–11.",Malgaroli2023_ref0031
Malgaroli2023,10.1038/s41398-023-02592-2,32,2017,,https://proceedings.neurips.cc/,"Vaswani A, Shazeer N, Parmar N, Uszkoreit J, Jones L, Gomez AN, et al. Attention
is All you Need. In: Guyon I, Von Luxburg U, Bengio S, Wallach H, Fergus R,
Vishwanathan S, Garnett R (eds). Advances in Neural Information Processing
Systems. Curran Associates, Inc. Vol. 30, 2017. https://proceedings.neurips.cc/
paper_ﬁles/paper/2017/ﬁle/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf.",Malgaroli2023_ref0032
Malgaroli2023,10.1038/s41398-023-02592-2,33,2016,,,"Althoff T, Clark K, Leskovec J. Large-scale analysis of counseling conversations:
an application of natural language processing to mental health. Trans. Assoc.
Comput. Linguistics. 2016;4:463–76.",Malgaroli2023_ref0033
Malgaroli2023,10.1038/s41398-023-02592-2,34,2020,,,"Ewbank MP, Cummins R, Tablan V, Bateup S, Catarino A, Martin AJ, et al.
Quantifying the association between psychotherapy content and clinical outcomes using deep learning. JAMA Psychiatry. 2020;77:35–43.",Malgaroli2023_ref0034
Malgaroli2023,10.1038/s41398-023-02592-2,35,2021,,,"Ewbank MP, Cummins R, Tablan V, Catarino A, Buchholz S, Blackwell AD.
Understanding the relationship between patient language and outcomes in
internet-enabled cognitive behavioural therapy: a deep learning approach to
automatic coding of session transcripts. Psychother Res. 2021;31:300–12.",Malgaroli2023_ref0035
Malgaroli2023,10.1038/s41398-023-02592-2,36,2020,,,"Goldberg SB, Flemotomos N, Martinez VR, Tanana MJ, Kuo PB, Pace BT, et al.
Machine learning and natural language processing in psychotherapy research:
alliance as example use case. J Counseling Psychol. 2020;67:438–48.",Malgaroli2023_ref0036
Malgaroli2023,10.1038/s41398-023-02592-2,37,2021,,,"Bantilan N, Malgaroli M, Ray B, Hull TD. Just in time crisis response: suicide alert
system for telemedicine psychotherapy settings. Psychother Res. 2021;31:289–99.",Malgaroli2023_ref0037
Malgaroli2023,10.1038/s41398-023-02592-2,38,2019,,,"Miner AS, Shah N, Bullock KD, Arnow BA, Bailenson J, Hancock J. Key Considerations for Incorporating Conversational AI in Psychotherapy. Front Psychiatry. 2019;10:746.",Malgaroli2023_ref0038
Malgaroli2023,10.1038/s41398-023-02592-2,39,2020,,,"Chancellor S, De Choudhury M. Methods in predictive techniques for mental
health status on social media: a critical review. npj Digit Med. 2020;3:1–11.",Malgaroli2023_ref0039
Malgaroli2023,10.1038/s41398-023-02592-2,40,2020,,,"Vaci N, Liu Q, Kormilitzin A, Crescenzo FD, Kurtulmus A, Harvey J, et al. Natural
language processing for structuring clinical text data on depression using UKCRIS. Evid-Based Ment Health. 2020;23:21–26.",Malgaroli2023_ref0040
Malgaroli2023,10.1038/s41398-023-02592-2,41,2021,,,"Aafjes-van Doorn K, Kamsteeg C, Bate J, Aafjes M. A scoping review of machine
learning in psychotherapy research. Psychother Res. 2021;31:92–116.",Malgaroli2023_ref0041
Malgaroli2023,10.1038/s41398-023-02592-2,42,2018,,,"Morris RR, Kouddous K, Kshirsagar R, Schueller SM. Towards an artiﬁcially
empathic conversational agent for mental health applications: System design
and user perceptions. J Med Internet Res. 2018;20:e10148.",Malgaroli2023_ref0042
Malgaroli2023,10.1038/s41398-023-02592-2,43,2018,,,"Aswamenakul C, Liu L, Carey KB, Woolley J, Scherer S, Borsari B. Multimodal
analysis of client behavioral change coding in motivational interviewing. In:
Proc. 20th ACM international conference on multimodal interaction. ACM:
Boulder CO: ACM; 2018. p. 356–60.",Malgaroli2023_ref0043
Malgaroli2023,10.1038/s41398-023-02592-2,44,2018,,https://aclanthology.org/L181458,"Mieskes M, Stiegelmayr A. Preparing data from psychotherapy for natural language processing. Proceedings of the eleventh international conference on
language resources and evaluation (LREC 2018). Miyazaki, Japan: European
Language Resources Association (ELRA); 2018. https://aclanthology.org/L181458.",Malgaroli2023_ref0044
Malgaroli2023,10.1038/s41398-023-02592-2,45,2018,,,"Ramakrishna A, Greer T, Atkins D, Narayanan S. Computational modeling of
conversational humor in psychotherapy. In: Interspeech 2018. ISCA; 2018. p.
2344–48.",Malgaroli2023_ref0045
Malgaroli2023,10.1038/s41398-023-02592-2,46,2019,,,"Martinez VR, Flemotomos N, Ardulov V, Somandepalli K, Goldberg SB, Imel ZE,
et al. Identifying Therapist and Client Personae for Therapeutic Alliance Estimation. In: Interspeech 2019. 2019, ISCA, pp 1901–5.",Malgaroli2023_ref0046
Malgaroli2023,10.1038/s41398-023-02592-2,47,2020,,,"Miner AS, Haque A, Fries JA, Fleming SL, Wilﬂey DE, Terence Wilson G, et al.
Assessing the accuracy of automatic speech recognition for psychotherapy. npj
Digit Med. 2020;3:82.",Malgaroli2023_ref0047
Malgaroli2023,10.1038/s41398-023-02592-2,48,2022,,,"Chen Z, Flemotomos N, Singla K, Creed TA, Atkins DC, Narayanan S An automated quality evaluation framework of psychotherapy conversations with local
quality estimates. Computer Speech Lang. 2022;75:101380.",Malgaroli2023_ref0048
Malgaroli2023,10.1038/s41398-023-02592-2,49,2022,,,"Demiris G, Oliver DP, Washington KT, Chadwick C, Voigt JD, Brotherton S, et al.
Examining spoken words and acoustic features of therapy sessions to understand family caregivers’ anxiety and quality of life. Int J Med Inform.
2022;160:104716.",Malgaroli2023_ref0049
Malgaroli2023,10.1038/s41398-023-02592-2,50,2022,,,"Miner AS, Fleming SL, Haque A, Fries JA, Althoff T, Wilﬂey DE, et al. A computational approach to measure the linguistic characteristics of psychotherapy
timing, responsiveness, and consistency. npj Ment Health Res. 2022;1:19.",Malgaroli2023_ref0050
Malgaroli2023,10.1038/s41398-023-02592-2,51,2022,,,"Wawer A, Chojnicka I, Okruszek L, Sarzynska-Wawer J. Single and cross-disorder
detection for autism and schizophrenia. Cogn Comput. 2022;14:461–73.",Malgaroli2023_ref0051
Malgaroli2023,10.1038/s41398-023-02592-2,52,2021,,,"Flemotomos N, Martinez VR, Chen Z, Singla K, Ardulov V, Peri R, et al. Am I a
good therapist? Automated evaluation of psychotherapy skills using speech and
language technologies. CoRR, Abs. 2021;2102:10.3758.",Malgaroli2023_ref0052
Malgaroli2023,10.1038/s41398-023-02592-2,53,2021,,,"Flemotomos N, Martinez VR, Chen Z, Creed TA, Atkins DC, Narayanan S. Automated quality assessment of cognitive behavioral therapy sessions through
highly contextualized language representations. PLoS ONE. 2021;16:e0258639.",Malgaroli2023_ref0053
Malgaroli2023,10.1038/s41398-023-02592-2,54,2021,,,"Min DJ, Pérez-Rosas V, Mihalcea R. Evaluating automatic speech recognition
quality and its impact on counselor utterance coding. In: Proceedings of the
seventh workshop on computational linguistics and clinical psychology:
improving access. Association for Computational Linguistics; 2021. p. 159–68.",Malgaroli2023_ref0054
Malgaroli2023,10.1038/s41398-023-02592-2,55,2023,,https://aclanthology.org/L181591,"Pérez-Rosas V, Sun X, Li C, Wang Y, Resnicow K, Mihalcea R. Analyzing the
quality
of
counseling
conversations:
the
tell-tale
signs
of
high-quality
M. Malgaroli et al.
14
Translational Psychiatry  (2023) 13:309 
counseling. In: Proceedings of the eleventh international conference on language resources and evaluation (LREC 2018). 2018. European Language
Resources Association (ELRA): Miyazaki, Japan https://aclanthology.org/L181591 (Accessed 9 Mar2022).",Malgaroli2023_ref0055
