sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Necula2024,10.3390/electronics13112055,1,2022,10.1155/2022/3183411,https://doi.org/10.1155/2022/3183411,"Dar, H.S.; Imtiaz, S.; Lali, M.I. Reducing Requirements Ambiguity via Gamiﬁcation: Comparison with Traditional Techniques. 
Comput. Intell. Neurosci. 2022, 2022, 3183411. https://doi.org/10.1155/2022/3183411.",Necula2024_ref0001
Necula2024,10.3390/electronics13112055,2,2022,10.1515/9783110709247-008,https://doi.org/10.1515/9783110709247-008,"Husain, M.S. Study of computational techniques to deal with ambiguity in SRS documents. In Computational Intelligence in Software Modeling; Jain, V., Chatterjee, J.M., Bansal, A., Kose, U., Jain, A., Eds.; De Gruyter: Berlin, Germany, 2022; pp. 107–120. 
https://doi.org/10.1515/9783110709247-008.",Necula2024_ref0002
Necula2024,10.3390/electronics13112055,3,2024,,https://api.semanticscholar.org/CorpusID:248301758,"Bajceta, A.; Leon, M.; Afzal, W.; Lindberg, P.; Bohlin, M. Using NLP Tools to Detect Ambiguities in System Requirements—A 
Comparison Study. REFSQ Workshops, 2022. Available online: https://api.semanticscholar.org/CorpusID:248301758 (accessed 
on 20 May 2024).",Necula2024_ref0003
Necula2024,10.3390/electronics13112055,4,2008,10.1007/s00766-008-0063-7,https://doi.org/10.1007/s00766-008-0063-7,"Kiyavitskaya, N.; Zeni, N.; Mich, L.; Berry, D.M. Requirements for tools for ambiguity identiﬁcation and measurement in natural 
language requirements speciﬁcations. Requir. Eng. 2008, 13, 207–239. https://doi.org/10.1007/s00766-008-0063-7.",Necula2024_ref0004
Necula2024,10.3390/electronics13112055,5,2018,10.24018/ejeng.2018.3.7.807,https://doi.org/10.24018/ejeng.2018.3.7.807,"Dawood, O.S.; Sahraoui, A.-E.-K. Toward Requirements and Design Traceability Using Natural Language Processing. Eur. J. 
Eng. Technol. Res. 2018, 3, 42–49. https://doi.org/10.24018/ejeng.2018.3.7.807.",Necula2024_ref0005
Necula2024,10.3390/electronics13112055,6,2020,10.1016/j.datak.2020.101796,https://doi.org/10.1016/j.datak.2020.101796,"Omar, M.; Baryannis, G. Semi-automated development of conceptual models from natural language text. Data Knowl. Eng. 2020, 
127, 101796. https://doi.org/10.1016/j.datak.2020.101796.",Necula2024_ref0006
Necula2024,10.3390/electronics13112055,7,2024,,https://market.us/report/natural-language-processing-market/,"Market.us. Global Natural Language Processing Market by Type (Statistical NLP, Rule Based NLP, and Hybrid NLP), by Component (Solution and Services), by Deployment (On-Premises and Cloud), by Application (Sentiment Analysis, Data Extraction, 
Risk And Threat Detection), by Technology (Interactive Voice Response (IVR), Optical Character Recognition (OCR), Text Analytics), by Enterprise Size (Small and Medium-Sized Enterprises (SMEs) and Large Enterprises), by Industry Vertical 
(Healthcare, Retail, High Tech and Telecom, BFSI), by Region and Companies—Industry Segment Outlook, Market Assessment, 
Competition Scenario, Trends and Forecast. 2024. Available online: https://market.us/report/natural-language-processing-market/ (accessed on 20 May 2024).",Necula2024_ref0007
Necula2024,10.3390/electronics13112055,8,2024,,https://explodingtopics.com/blog/ai-statistics,"Howarth, J. 57 NEW AI Statistics (May 2024). Explod. Top. 2024. Available online: https://explodingtopics.com/blog/ai-statistics 
(accessed on 20 May 2024).",Necula2024_ref0008
Necula2024,10.3390/electronics13112055,9,2015,10.14257/ijseia.2015.9.11.12,https://doi.org/10.14257/ijseia.2015.9.11.12,"Yalla, P.; Sharma, N. Integrating Natural Language Processing and Software Engineering. Int. J. Softw. Eng. Its Appl. 2015, 9, 
127–136. https://doi.org/10.14257/ijseia.2015.9.11.12.",Necula2024_ref0009
Necula2024,10.3390/electronics13112055,10,2023,10.1016/j.jss.2023.111616,https://doi.org/10.1016/j.jss.2023.111616,"Pauzi, Z.; Capiluppi, A. Applications of natural language processing in software traceability: A systematic mapping study. J. 
Syst. Softw. 2023, 198, 111616. https://doi.org/10.1016/j.jss.2023.111616.",Necula2024_ref0010
Necula2024,10.3390/electronics13112055,11,2023,10.3390/e25060888,https://doi.org/10.3390/e25060888,"Wong, M.-F.; Guo, S.; Hang, C.-N.; Ho, S.-W.; Tan, C.-W. Natural Language Generation and Understanding of Big Code for AIAssisted Programming: A Review. Entropy 2023, 25, 888. https://doi.org/10.3390/e25060888.",Necula2024_ref0011
Necula2024,10.3390/electronics13112055,12,2017,10.1007/s00766-017-0270-1,https://doi.org/10.1007/s00766-017-0270-1,"Lucassen, G.; Robeer, M.; Dalpiaz, F.; Van Der Werf, J.M.E.M.; Brinkkemper, S. Extracting conceptual models from user stories 
with Visual Narrator. Requir. Eng. 2017, 22, 339–358. https://doi.org/10.1007/s00766-017-0270-1.",Necula2024_ref0012
Necula2024,10.3390/electronics13112055,13,2024,,https://apps.dtic.mil/sti/pdfs/ADA441307.pdf,"Lami, G. QuARS: A Tool for Analyzing Requirements; Carnegie Mellon University, Software Engineering Institute, 2005. Available 
online: https://apps.dtic.mil/sti/pdfs/ADA441307.pdf (accessed on 20 May 2024).",Necula2024_ref0013
