sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Schopow2023,10.2196/48933,1,2023,,https://openai.com/,OpenAI. URL: https://openai.com/ [accessed 2023-10-18],Schopow2023_ref0001
Schopow2023,10.2196/48933,2,2011,10.1136/amiajnl-2011-000163,,"Jiang M, Chen Y, Liu M, Rosenbloom ST, Mani S, Denny JC, et al. A study of machine-learning-based approaches to
extract clinical entities and their assertions from discharge summaries. J Am Med Inform Assoc 2011 Sep 01;18(5):601-606
[FREE Full text] [doi: 10.1136/amiajnl-2011-000163] [Medline: 21508414]",Schopow2023_ref0002
Schopow2023,10.2196/48933,3,2023,10.1056/nejmra2302038,,"Haug C, Drazen J. Artificial intelligence and machine learning in clinical medicine, 2023. N Engl J Med 2023 Mar
30;388(13):1201-1208 [FREE Full text] [doi: 10.1056/nejmra2302038]",Schopow2023_ref0003
Schopow2023,10.2196/48933,4,2018,10.1055/s-0038-1638592,,"Meystre SM, Savova GK, Kipper-Schuler KC, Hurdle JF. Extracting information from textual documents in the electronic
health record: a review of recent research. Yearb Med Inform 2018 Mar 07;17(01):128-144 [doi: 10.1055/s-0038-1638592]",Schopow2023_ref0004
Schopow2023,10.2196/48933,5,2022,10.1038/s41591-021-01614-0,,"Rajpurkar P, Chen E, Banerjee O, Topol E. AI in health and medicine. Nat Med 2022 Jan;28(1):31-38 [FREE Full text]
[doi: 10.1038/s41591-021-01614-0] [Medline: 35058619]",Schopow2023_ref0005
Schopow2023,10.2196/48933,6,2018,10.1016/j.jbi.2017.11.011,,"Wang Y, Wang L, Rastegar-Mojarad M, Moon S, Shen F, Afzal N, et al. Clinical information extraction applications: a
literature review. J Biomed Inform 2018 Jan;77:34-49 [doi: 10.1016/j.jbi.2017.11.011] [Medline: 29162496]",Schopow2023_ref0006
Schopow2023,10.2196/48933,7,2014,10.1136/amiajnl-2013-001935,,"Shivade C, Raghavan P, Fosler-Lussier E, Embi PJ, Elhadad N, Johnson SB, et al. A review of approaches to identifying
patient phenotype cohorts using electronic health records. J Am Med Inform Assoc 2014 Mar 01;21(2):221-230 [FREE
Full text] [doi: 10.1136/amiajnl-2013-001935] [Medline: 24201027]",Schopow2023_ref0007
Schopow2023,10.2196/48933,8,2022,10.1093/jamia/ocac121,,"Lederman A, Lederman R, Verspoor K. Tasks as needs: reframing the paradigm of clinical natural language processing
research for real-world decision support. J Am Med Inform Assoc 2022 Sep 12;29(10):1810-1817 [FREE Full text] [doi:
10.1093/jamia/ocac121] [Medline: 35848784]",Schopow2023_ref0008
Schopow2023,10.2196/48933,9,2023,10.1097/SPC.0000000000000645,,"Reddy V, Nafees A, Raman S. Recent advances in artificial intelligence applications for supportive and palliative care in
cancer patients. Curr Opin Support Palliat Care 2023 Jun 01;17(2):125-134 [doi: 10.1097/SPC.0000000000000645] [Medline:
37039590]",Schopow2023_ref0009
Schopow2023,10.2196/48933,10,2019,10.1200/cci.18.00084,,"Odisho AY, Bridge M, Webb M, Ameli N, Eapen RS, Stauf F, et al. Automating the capture of structured pathology data
for prostate cancer clinical care and research. JCO Clin Cancer Inform 2019 Dec(3):1-8 [doi: 10.1200/cci.18.00084]",Schopow2023_ref0010
Schopow2023,10.2196/48933,11,2022,10.1093/jamia/ocac066,,"Feng Y, Liang S, Zhang Y, Chen S, Wang Q, Huang T, et al. Automated medical literature screening using artificial
intelligence: a systematic review and meta-analysis. J Am Med Inform Assoc 2022 Jul 12;29(8):1425-1432 [FREE Full
text] [doi: 10.1093/jamia/ocac066] [Medline: 35641139]",Schopow2023_ref0011
Schopow2023,10.2196/48933,12,2018,,,"Devlin J, Chang M, Lee K, Toutanova K. BERT: pre-training of deep bidirectional transformers for language understanding.
arXiv. Preprint posted online October 11, 2018 [FREE Full text]",Schopow2023_ref0012
Schopow2023,10.2196/48933,13,2020,,,"Brown T, Mann B, Ryder N, Subbiah M, Kaplan J, Dhariwal P, et al. Language models are few-shot learners. arXiv. Preprint
posted online May 28, 2020 [FREE Full text]",Schopow2023_ref0013
