sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Shankar2025,10.1038/s41746-025-01527-z,1,2022,,,"Gauthier, S., Rosa-Neto, P., Morais, J. A. & Webster, C. World
Alzheimer report 2021: journey through the diagnosis of dementia.
Alzheimer’s. Dis. Int. 2022, 30 (2021).",Shankar2025_ref0001
Shankar2025,10.1038/s41746-025-01527-z,2,2016,10.1212/con.0000000000000313,https://doi.org/10.1212/con.0000000000000313,"Petersen, R. C Mild cognitive impairment. Continuum 22, 404–418,
https://doi.org/10.1212/con.0000000000000313 (2016).",Shankar2025_ref0002
Shankar2025,10.1038/s41746-025-01527-z,3,2022,10.1093/ageing/afac173,https://doi.org/10.1093/ageing/afac173,"Bai, W. et al. Worldwide prevalence of mild cognitive impairment
among community dwellers aged 50 years and older: a meta-analysis
and systematic review of epidemiology studies. Age Ageing 51,
https://doi.org/10.1093/ageing/afac173 (2022).",Shankar2025_ref0003
Shankar2025,10.1038/s41746-025-01527-z,4,2018,,,"Jia, J. et al. The cost of Alzheimer’s disease in China and re-estimation
of costs worldwide. Alzheimers Dement. 14, 483–491 (2018).",Shankar2025_ref0004
Shankar2025,10.1038/s41746-025-01527-z,5,2022,,,"Nandi, A. et al. Global and regional projections of the economic
burden of Alzheimer’s disease andrelated dementias from 2019
to 2050: a value of statistical life approach. E. Clin. Med. 51, 101580
(2022).",Shankar2025_ref0005
Shankar2025,10.1038/s41746-025-01527-z,6,2015,,,"Ngandu, T. et al. A 2 year multidomain intervention of diet, exercise,
cognitive training, and vascular risk monitoring versus control to
prevent cognitive decline in at-risk elderly people (FINGER): a
randomised controlled trial. Lancet 385, 2255–2263 (2015).",Shankar2025_ref0006
Shankar2025,10.1038/s41746-025-01527-z,7,2018,,,"Olivari, B. S. et al. CDC grand rounds: promoting well-being and
independence in older adults. MMWR Morb. Mortal. Wkly Rep. 67,
1036–1039 (2018).",Shankar2025_ref0007
Shankar2025,10.1038/s41746-025-01527-z,8,2017,,,"Kane, R. L. et al. Interventions to Prevent Age-Related Cognitive
Decline, Mild Cognitive Impairment, and Clinical Alzheimer’s-Type
Dementia (Agency for Healthcare Research and Quality, USA, 2017).",Shankar2025_ref0008
Shankar2025,10.1038/s41746-025-01527-z,9,2018,,,"Brasure, M. et al. Physical activity interventions in preventing
cognitive decline and Alzheimer-type dementia: a systematic review.
Ann. Intern. Med. 168, 30–38 (2018).",Shankar2025_ref0009
Shankar2025,10.1038/s41746-025-01527-z,10,2020,,,"Patnode, C. D. et al. Screening for cognitive impairment in older
adults: updated evidence report and systematic review for the US
Preventive Services Task Force. JAMA 323, 764–785 (2020).",Shankar2025_ref0010
