sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Shool2025,10.1186/s12911-025-02954-4,1,2023,,,"Zhou H, Liu F, Gu B, Zou X, Huang J, Wu J et al. A survey of large language 
models in medicine: progress, application, and challenge. ArXiv Preprint. 
2023;arXiv:231105112.",Shool2025_ref0001
Shool2025,10.1186/s12911-025-02954-4,2,2023,,,"Cascella M, Montomoli J, Bellini V, Bignami E. Evaluating the feasibility of 
ChatGPT in healthcare: an analysis of multiple clinical and research scenarios. 
J Med Syst. 2023;47(1):33.",Shool2025_ref0002
Shool2025,10.1186/s12911-025-02954-4,3,2023,,,"Tustumi F, Andreollo NA, Aguilar-Nascimento, JEd. Future of the language 
models in healthcare: the role of chatGPT. ABCD arquivos brasileiros de 
cirurgia digestiva (são paulo). 2023;36:e1727.",Shool2025_ref0003
Shool2025,10.1186/s12911-025-02954-4,4,2023,,,"Wilhelm TI, Roos J, Kaczmarczyk R. Large language models for therapy recom­
mendations across 3 clinical specialties: comparative study. J Med Internet 
Res. 2023;25:e49324.",Shool2025_ref0004
Shool2025,10.1186/s12911-025-02954-4,5,2024,,,"Lahat A, Klang E. Can advanced technologies help address the global 
increase in demand for specialized medical care and improve telehealth 
services? J Telemed Telecare. 2024;30(9).",Shool2025_ref0005
Shool2025,10.1186/s12911-025-02954-4,6,2024,,,"Chen X, Xiang J, Lu S, Liu Y, He M, Shi D. Evaluating large language models in 
medical applications: a survey. ArXiv Preprint. 2024;arXiv:240507468.",Shool2025_ref0006
Shool2025,10.1186/s12911-025-02954-4,7,2023,,,"Karabacak M, Margetis K. Embracing large language models for medical 
applications: opportunities and challenges. Cureus. 2023;15(5):e39305.",Shool2025_ref0007
Shool2025,10.1186/s12911-025-02954-4,8,2023,,,"Nazi ZA, Peng W. Large language models in healthcare and medical domain: 
A review. ArXiv Preprint. 2023;arXiv:240106775.",Shool2025_ref0008
Shool2025,10.1186/s12911-025-02954-4,9,2024,,,"Ríos-Hoyo A, Shan NL, Li A, Pearson AT, Pusztai L, Howard FM. Evaluation of 
large language models as a diagnostic aid for complex medical cases. Front 
Med. 2024;11:1380148.",Shool2025_ref0009
Shool2025,10.1186/s12911-025-02954-4,10,2023,,,"Zhou H, Liu F, Gu B, Zou X, Huang J, Wu J et al. A survey of large language 
models in medicine: principles, applications, and challenges. arXiv preprint. 
2023;arXiv:231105112.",Shool2025_ref0010
Shool2025,10.1186/s12911-025-02954-4,11,2024,,,"Busch F, Hoffmann L, Rueger C, van Dijk EHC, Kader R, Ortiz-Prado E et al. 
Systematic review of large language models for patient care: current applica­
tions and challenges. medRxiv. 2024:2024.03.04.24303733.",Shool2025_ref0011
Shool2025,10.1186/s12911-025-02954-4,12,2024,,,"Park Y-J, Pillai A, Deng J, Guo E, Gupta M, Paget M, et al. Assessing the research 
landscape and clinical utility of large language models: a scoping review. 
BMC Med Inf Decis Mak. 2024;24(1):72.",Shool2025_ref0012
Shool2025,10.1186/s12911-025-02954-4,13,2025,,,"Perlis RH, Fihn SD. Evaluating the application of large language models in 
clinical research contexts. JAMA Netw Open. 2023;6(10):e2335924–e.
Page 11 of 11
Shool et al. BMC Medical Informatics and Decision Making          (2025) 25:117",Shool2025_ref0013
Shool2025,10.1186/s12911-025-02954-4,14,2024,,,"Hoppe JM, Auer MK, Strüven A, Massberg S, Stremmel C. ChatGPT with GPT-4 
outperforms emergency department physicians in diagnostic accuracy: 
retrospective analysis. J Med Internet Res. 2024;26:e56110.",Shool2025_ref0014
Shool2025,10.1186/s12911-025-02954-4,15,2024,,,"Mackey BP, Garabet R, Maule L, Tadesse A, Cross J, Weingarten M. Evaluating 
ChatGPT-4 in medical education: an assessment of subject exam perfor­
mance reveals limitations in clinical curriculum support for students. Discover 
Artif Intell. 2024;4(1):38.",Shool2025_ref0015
Shool2025,10.1186/s12911-025-02954-4,16,2024,,,"Ueda D, Walston SL, Matsumoto T, Deguchi R, Tatekawa H, Miki Y. Evaluating 
GPT-4-based ChatGPT’s clinical potential on the NEJM quiz. BMC Digit Health. 
2024;2(1):4.",Shool2025_ref0016
Shool2025,10.1186/s12911-025-02954-4,17,2023,,,"Alessandri-Bonetti MGR, Naegeli M, Liu HY, Egro FM. Assessing the soft tissue 
infection expertise of ChatGPT and Bard compared to IDSA recommenda­
tions. Ann Biomed Eng. 2023.",Shool2025_ref0017
Shool2025,10.1186/s12911-025-02954-4,18,2024,,,"Liu F, Zhou H, Hua Y, Rohanian O, Clifton L, Clifton DA. Large lan­
guage models in healthcare: A comprehensive benchmark. MedRxiv. 
2024:2024.04.24.24306315.",Shool2025_ref0018
Shool2025,10.1186/s12911-025-02954-4,19,2024,,,"García-Méndez S, de Arriba-Pérez F. Large language models and healthcare alliance: potential and challenges of two representative use cases. Ann Biomed Eng. 2024;52(8):1928-31.",Shool2025_ref0019
