sr_id,sr_doi,refnum,year,doi,url,raw,bib_key
Shool2025,10.1186/s12911-025-02954-4,1,2023,,,"Chan C, You K, Chung S, Giuffrè M, Saarinen T, Rajashekar N, et al. Assessing the Usability of GutGPT: A Simulation Study of an AI Clinical Decision Support System for Gastrointestinal Bleeding Risk. arXiv preprint arXiv:231210072. 2023.",Shool2025_supp_ref0001
Shool2025,10.1186/s12911-025-02954-4,2,2023,,,"Cross JR, R.; Devaraju, S.; Vaughans, A.; Hood, R.; Kayalackakom, T.; Honnavar, P.; Naik, S.; Sebastian, R. Transforming Medical Education: Assessing the Integration of ChatGPT Into Faculty Workflows at a Caribbean Medical School. Cureus. 2023;15(7):e41399.",Shool2025_supp_ref0002
Shool2025,10.1186/s12911-025-02954-4,3,2023,,,"Han ZB, F.; Udaiyar, A.; Fooks, A.; Terlecky, S. R. An explorative assessment of ChatGPT as an aid in medical education: Use it with caution. Medical teacher. 2023:1-8.",Shool2025_supp_ref0003
Shool2025,10.1186/s12911-025-02954-4,4,2023,,,"Morjaria LB, L.; Bracken, K.; Ngo, Q. N.; Lee, M.; Levinson, A. J.; Smith, J.; Thompson, P.; Sibbald, M. Examining the Threat of ChatGPT to the Validity of Short Answer Assessments in an Undergraduate Medical Program. Journal of medical education and curricular development. 2023;10:23821205231204178.",Shool2025_supp_ref0004
Shool2025,10.1186/s12911-025-02954-4,5,2023,,,"Brin DS, V.; Vaid, A.; Soroush, A.; Glicksberg, B. S.; Charney, A. W.; Nadkarni, G.; Klang, E. Comparing ChatGPT and GPT-4 performance in USMLE soft skill assessments. Scientific reports. 2023;13(1):16492.",Shool2025_supp_ref0005
Shool2025,10.1186/s12911-025-02954-4,6,2024,,,"Yaneva VB, P.; Jurich, D. P.; Swygert, K.; Clauser, B. E. Examining ChatGPT Performance on USMLE Sample Items and Implications for Assessment. Academic medicine : journal of the Association of American Medical Colleges. 2024;99(2):192-7.",Shool2025_supp_ref0006
Shool2025,10.1186/s12911-025-02954-4,7,2023,,,"Meo SAA-M, A. A.; Alotaibi, M.; Meo, M. Z. S.; Meo, M. O. S. ChatGPT Knowledge Evaluation in Basic and Clinical Medical Sciences: Multiple Choice Question Examination-Based Performance. Healthcare (Basel, Switzerland). 2023;11(14).",Shool2025_supp_ref0007
Shool2025,10.1186/s12911-025-02954-4,8,2023,,,"Zuckerman MF, R.; Tan, R. J. B.; Kelp, N.; Ecker, D. J.; Menke, J.; Lockspeiser, T. ChatGPT for assessment writing. Medical teacher. 2023;45(11):1224-7.",Shool2025_supp_ref0008
Shool2025,10.1186/s12911-025-02954-4,9,2023,,,"Chen TCM, E.; Kearns, P.; Delashaw, J.; Dumont, A.; Maraganore, D.; Wang, A. Assessment of ChatGPT's performance on neurology written board examination questions. BMJ neurology open. 2023;5(2):e000530.",Shool2025_supp_ref0009
Shool2025,10.1186/s12911-025-02954-4,10,2024,,,"Wang AYL, S.; Tran, C.; Homer, R. J.; Wilsdon, D.; Walsh, J. C.; Goebel, E. A.; Sansano, I.; Sonawane, S.; Cockenpot, V.; Mukhopadhyay, S.; Taskin, T.; Zahra, N.; Cima, L.; Semerci, O.; Özamrak, B. G.; Mishra, P.; Vennavalli, N. S.; Chen, P. C.; Cecchini, M. J. Assessment of Pathology Domain-Specific Knowledge of ChatGPT and Comparison to Human Performance. Archives of pathology & laboratory medicine. 2024.",Shool2025_supp_ref0010
