run_id,model,reasoning_effort,papers,batch_status,created_at_taipei,completed_at_taipei,completed,failed,total,output_file_id,comparison_basis,run_manifest_path
20260321_171053Z,gpt-5.4-nano,未顯式設定,2409.13738,completed,2026-03-22T01:10:54+08:00,2026-03-22T01:12:02+08:00,2,0,2,file-1qKYxcKYhMBf26jVRXpnnH,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt54nano_all4_2026-03-21/runs/20260321_171053Z/run_manifest.json
20260321_171754Z,gpt-5.4-nano,未顯式設定,2409.13738,completed,2026-03-22T01:18:00+08:00,2026-03-22T01:22:28+08:00,84,0,84,file-H12VAKEvdFSW1KsSSjjeuX,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt54nano_all4_2026-03-21/runs/20260321_171754Z/run_manifest.json
20260321_173147Z,gpt-5-nano,未顯式設定,"2307.05527,2409.13738,2511.13936,2601.19926",completed,2026-03-22T01:32:27+08:00,2026-03-22T01:41:08+08:00,754,0,754,file-Vw5YDjEh3FVtm2wpQFPnDA,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt5nano_all4_2026-03-22/runs/20260321_173147Z/run_manifest.json
20260321_180142Z,gpt-5-mini,未顯式設定,"2307.05527,2409.13738,2511.13936,2601.19926",completed,2026-03-22T02:02:25+08:00,2026-03-22T02:11:56+08:00,754,0,754,file-2Juepf16hLqXVjxPANZMcc,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt5mini_all4_2026-03-22/runs/20260321_180142Z/run_manifest.json
20260322_023703Z,gpt-5-nano,high,2409.13738,completed,2026-03-22T10:37:10+08:00,2026-03-22T10:47:36+08:00,84,0,84,file-K7QsDiF55NdTRe3qbG3pcT,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt5nano_all4_2026-03-22/runs/20260322_023703Z/run_manifest.json
20260322_041730Z,gpt-5-nano,low,2409.13738,completed,2026-03-22T12:17:37+08:00,2026-03-22T12:21:32+08:00,84,0,84,file-WjZZ1KLMK6XMmiwna2cXqX,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt5nano_all4_2026-03-22/runs/20260322_041730Z/run_manifest.json
20260322_042952Z,gpt-5-mini,low,2409.13738,completed,2026-03-22T12:29:57+08:00,2026-03-22T12:36:58+08:00,84,0,84,file-UZbdpG1yhi2JLBoaiveWWc,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt5mini_all4_2026-03-22/runs/20260322_042952Z/run_manifest.json
20260322_053646Z,gpt-5.4-nano,low,2409.13738,completed,2026-03-22T13:36:54+08:00,2026-03-22T13:40:23+08:00,84,0,84,file-TnJCqiuTEa7kTQSvRXFu36,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt54nano_all4_2026-03-21/runs/20260322_053646Z/run_manifest.json
20260322_080853Z,gpt-5.4-mini,low,2409.13738,completed,2026-03-22T16:09:00+08:00,2026-03-22T16:12:26+08:00,84,0,84,file-5E45aEWxJhbCasfbDDXydB,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt54mini_all4_2026-03-22/runs/20260322_080853Z/run_manifest.json
20260322_094235Z,gpt-5,low,2409.13738,completed,2026-03-22T17:42:42+08:00,2026-03-22T17:46:32+08:00,84,0,84,file-R2EVnNDFhUowcWBAhU9bH5,早於criteria變更,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_gpt5_all4_2026-03-22/runs/20260322_094235Z/run_manifest.json
