scope,sr_id,file_count,body_tokens_total,body_tokens_mean,body_tokens_p50,body_tokens_p90,body_tokens_max,raw_tokens_total,raw_tokens_mean,raw_tokens_p50,raw_tokens_p90,raw_tokens_max,reference_cut_file_count,tokens_removed_by_reference_cut_total,gpt_5_nano_input_cost_usd,gpt_5_4_mini_input_cost_usd,one_file_search_call_per_file_fee_usd
desktop_visible_refs_find_L,__ALL__,1437,17457470,12148.552540013918,9737,20079.80000000002,394564,19229428,13381.647877522617,9885,22976.000000000007,394565,179,1771958,0.8728735,13.0931025,3.5925
desktop_visible_refs_find_L,2307.05527,222,2051105,9239.211711711712,7727.5,16561.8,49980,2079845,9368.67117117117,7768.5,16601.7,49980,1,28740,0.10255525,1.53832875,0.555
desktop_visible_refs_find_L,2409.13738,84,1396418,16624.02380952381,9282.5,17175.300000000003,394564,1400924,16677.666666666668,9283.0,17175.600000000006,394565,2,4506,0.0698209,1.0473135,0.21
desktop_visible_refs_find_L,2509.11446,164,2249962,13719.280487804877,10325.0,29107.100000000013,57667,3432887,20932.23780487805,13066.0,45714.40000000017,338321,133,1182925,0.1124981,1.6874715,0.41
desktop_visible_refs_find_L,2511.13936,578,7703025,13327.032871972318,10442.0,23324.900000000005,110412,8248966,14271.567474048443,10772.5,25522.70000000003,110412,39,545941,0.38515125,5.77726875,1.445
desktop_visible_refs_find_L,2601.19926,389,4056960,10429.203084832905,9193,14306.8,65618,4066806,10454.514138817482,9193,14354.0,65618,4,9846,0.202848,3.04272,0.9725
storage_direct_refs,__ALL__,1620,19636551,12121.327777777778,9633.0,20008.700000000033,394564,21453304,13242.78024691358,9774.0,22718.20000000001,394565,180,1816753,0.98182755,14.72741325,4.05
storage_direct_refs,2306.12834,58,656439,11317.913793103447,9134.0,19130.600000000013,58406,656467,11318.396551724138,9134.5,19131.300000000014,58407,0,28,0.03282195,0.49232925,0.145
storage_direct_refs,2307.05527,222,2051105,9239.211711711712,7727.5,16561.8,49980,2079845,9368.67117117117,7768.5,16601.7,49980,1,28740,0.10255525,1.53832875,0.555
storage_direct_refs,2310.07264,3,33031,11010.333333333334,14471,15184.6,15363,33032,11010.666666666666,14471,15185.4,15364,0,1,0.0016515500000000001,0.02477325,0.0075
storage_direct_refs,2312.05172,1,4004,4004,4004,4004.0,4004,4004,4004,4004,4004.0,4004,0,0,0.00020020000000000001,0.003003,0.0025
storage_direct_refs,2401.09244,3,28698,9566,9362,11620.4,12185,28700,9566.666666666666,9363,11621.400000000001,12186,0,2,0.0014349,0.0215235,0.0075
storage_direct_refs,2405.15604,26,534507,20557.96153846154,9167.5,23467.0,199362,534515,20558.26923076923,9167.5,23467.0,199363,0,8,0.026725350000000002,0.40088025,0.065
storage_direct_refs,2409.13738,84,1396418,16624.02380952381,9282.5,17175.300000000003,394564,1400924,16677.666666666668,9283.0,17175.600000000006,394565,2,4506,0.0698209,1.0473135,0.21
storage_direct_refs,2507.07741,73,678385,9292.945205479453,6413,19449.199999999997,35549,723134,9905.945205479453,6659,19917.6,46598,1,44749,0.03391925,0.50878875,0.1825
storage_direct_refs,2507.18910,8,130253,16281.625,14116.5,28664.6,28715,130256,16282,14116.5,28664.9,28716,0,3,0.006512650000000001,0.09768975,0.02
storage_direct_refs,2509.11446,164,2249962,13719.280487804877,10325.0,29107.100000000013,57667,3432887,20932.23780487805,13066.0,45714.40000000017,338321,133,1182925,0.1124981,1.6874715,0.41
storage_direct_refs,2510.01145,11,113764,10342.181818181818,7973,16953.0,19358,113768,10342.545454545454,7973,16953.0,19359,0,4,0.005688200000000001,0.085323,0.0275
storage_direct_refs,2511.13936,578,7703025,13327.032871972318,10442.0,23324.900000000005,110412,8248966,14271.567474048443,10772.5,25522.70000000003,110412,39,545941,0.38515125,5.77726875,1.445
storage_direct_refs,2601.19926,389,4056960,10429.203084832905,9193,14306.8,65618,4066806,10454.514138817482,9193,14354.0,65618,4,9846,0.202848,3.04272,0.9725
