baseline_family,run_scope,stage_model,run_id,model,reasoning_effort,paper_id,batch_status,candidate_total,cutoff_pass_count,cutoff_excluded_count,stage2_selected_count,reviewed_count,missing_count,stage1_precision,stage1_recall,stage1_f1,current_stage1_baseline_f1,delta_vs_current_stage1,combined_precision,combined_recall,combined_f1,current_combined_baseline_f1,delta_vs_current_combined,stage1_results_path,stage1_metrics_path,combined_results_path,combined_metrics_path,report_path,run_manifest_path
historical_direct_review,full,one_stage_fulltext,20260324_2409_rerun2_gpt54_low,gpt-5.4,low,2409.13738,completed,84,,,,,,,,,0.7499999999999999,,0.84,1.0,0.9130434782608696,0.7499999999999999,0.16304347826086973,,,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt54_low/papers/2409.13738/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt54_low/papers/2409.13738/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt54_low/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt54_low/run_manifest.json
historical_direct_review,full,one_stage_fulltext,20260324_2409_rerun2_gpt5mini_low,gpt-5-mini,low,2409.13738,completed,84,,,,,,,,,0.7499999999999999,,0.75,1.0,0.8571428571428571,0.7499999999999999,0.1071428571428572,,,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5mini_low/papers/2409.13738/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5mini_low/papers/2409.13738/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5mini_low/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5mini_low/run_manifest.json
historical_direct_review,full,one_stage_fulltext,20260324_2409_rerun2_gpt5nano_low,gpt-5-nano,low,2409.13738,completed,84,,,,,,,,,0.7499999999999999,,0.7241379310344828,1.0,0.8400000000000001,0.7499999999999999,0.09000000000000019,,,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5nano_low/papers/2409.13738/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5nano_low/papers/2409.13738/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5nano_low/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun2_gpt5nano_low/run_manifest.json
historical_direct_review,full,one_stage_fulltext,20260324_2409_rerun_gpt54mini_low,gpt-5.4-mini,low,2409.13738,completed,84,,,,,,,,,0.7499999999999999,,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.7499999999999999,0.11363636363636376,,,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54mini_low/papers/2409.13738/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54mini_low/papers/2409.13738/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54mini_low/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54mini_low/run_manifest.json
historical_direct_review,full,one_stage_fulltext,20260324_2409_rerun_gpt54nano_low,gpt-5.4-nano,low,2409.13738,completed,84,,,,,,,,,0.7499999999999999,,0.7241379310344828,1.0,0.8400000000000001,0.7499999999999999,0.09000000000000019,,,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54nano_low/papers/2409.13738/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54nano_low/papers/2409.13738/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54nano_low/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt54nano_low/run_manifest.json
historical_direct_review,full,one_stage_fulltext,20260324_2409_rerun_gpt5_low,gpt-5,low,2409.13738,completed,84,,,,,,,,,0.7499999999999999,,0.8333333333333334,0.9523809523809523,0.888888888888889,0.7499999999999999,0.13888888888888906,,,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt5_low/papers/2409.13738/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt5_low/papers/2409.13738/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt5_low/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2409_low_rerun_after_criteria_change_2026-03-24/runs/20260324_2409_rerun_gpt5_low/run_manifest.json
current_two_stage_direct_review,full,two_stage_direct_review,20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601,gpt-5.4-mini,xhigh,2307.05527,completed,222,193,29,135,189,0,0.9777777777777777,0.7719298245614035,0.8627450980392156,0.9620991253644315,-0.09935402732521592,0.9761904761904762,0.7192982456140351,0.8282828282828282,0.9620991253644315,-0.13381629708160336,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/stage1_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/stage1_f1.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/run_manifest.json
current_two_stage_direct_review,full,two_stage_direct_review,20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601,gpt-5.4-mini,xhigh,2601.19926,completed,360,360,0,276,359,0,0.9818840579710145,0.8065476190476191,0.8856209150326797,0.9792284866468842,-0.09360757161420452,0.9846743295019157,0.7648809523809523,0.8609715242881072,0.9731343283582089,-0.11216280407010171,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/stage1_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/stage1_f1.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_full_gpt54mini_xhigh_2stagedirect_2307_2601/run_manifest.json
current_two_stage_direct_review,full,two_stage_direct_review,20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601,gpt-5.4-mini,xhigh,2307.05527,completed,222,214,8,148,210,0,0.972972972972973,0.8421052631578947,0.90282131661442,0.9620991253644315,-0.05927780875001154,0.9710144927536232,0.783625730994152,0.8673139158576051,0.9620991253644315,-0.09478520950682645,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/stage1_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/stage1_f1.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2307.05527/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/run_manifest.json
current_two_stage_direct_review,full,two_stage_direct_review,20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601,gpt-5.4-mini,xhigh,2601.19926,completed,360,360,0,283,359,0,0.9752650176678446,0.8214285714285714,0.8917609046849758,0.9792284866468842,-0.0874675819619084,0.9850746268656716,0.7857142857142857,0.8741721854304635,0.9731343283582089,-0.09896214292774541,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/stage1_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/stage1_f1.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/single_reviewer_batch_results.json,screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/papers/2601.19926/single_reviewer_batch_f1.json,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/REPORT_zh.md,/Users/xjp/Desktop/NLP_PRISMA_Reviews/screening/results/single_reviewer_official_batch_2stage_direct_review_2307_2601_2026-04-17/runs/20260417_retry1_gpt54mini_xhigh_2stagedirect_2307_2601/run_manifest.json
