bibkey,title,match_confidence,score,method
agostinelli2023musiclm,MusicLM: Generating Music From Text,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
aouameur_neural_2019,Neural drum machine: An interactive system for real-time synthesis of drum sounds,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
arik_neural_2018,Neural voice cloning with a few samples,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
bando_statistical_2018,Statistical speech enhancement based on probabilistic integration of variational autoencoder and non-negative matrix factorization,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
bazin_nonoto_2019,Nonoto: A model-agnostic web interface for interactive music composition by inpainting,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
bie_benchmark_2021,A benchmark of dynamical variational autoencoders applied to speech spectrogram modeling,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
bie_unsupervised_2022,Unsupervised speech enhancement using dynamical variational autoencoders,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
binkowski_high_2019,High fidelity speech synthesis with adversarial networks,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
bitton_modulated_2018,Modulated variational auto-encoders for many-to-many musical timbre transfer,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
bitton_assisted_2019,Assisted sound sample generation with musical conditioning in adversarial auto-encoders,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
bollepalli_generative_2017,Generative adversarial network-based glottal waveform model for statistical parametric speech synthesis,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
boulianne2020study,A study of inductive biases for unsupervised speech representation learning,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
broek_mp3net_2021,"Mp3net: coherent, minute-long music generation from raw audio with a simple convolutional GAN",high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
