title,bibkey,bibkey_confidence,bibkey_score
COVID-19 and cyberbullying: deep ensemble model to identify cyberbullying from code-switched languages during the pandemic,paul2023covid,high,1.0
Model-Agnostic Meta-Learning for Multilingual Hate Speech Detection,awal2023model,high,1.0
Label modification and bootstrapping for zero-shot cross-lingual hate speech detection,bigoulaeva2023label,high,1.0
SexWEs: Domain-Aware Word Embeddings via Cross-lingual Semantic Specialisation for Chinese Sexism Detection in Social Media,jiang2023sexwes,high,1.0
Respectful or Toxic? Using Zero-Shot Learning with Language Models to Detect Hate Speech,plaza2023respectful,high,1.0
Cross-Cultural Transfer Learning for Chinese Offensive Language Detection,,none,0.727
Multi-input integrative learning using deep neural networks and transfer learning for cyberbullying detection in real-time code-mix data,kumar2022multi,high,1.0
A multilingual offensive language detection method based on transfer learning from transformer fine-tuning model,elalami2022multilingual,high,1.0
Data Bootstrapping Approaches to Improve Low Resource Abusive Language Detection for Indic Languages,das2022data,high,1.0
Multilingual HateCheck: Functional Tests for Multilingual Hate Speech Detection Models,,none,0.615
Improving Zero-Shot Cross-Lingual Hate Speech Detection with Pseudo-Label Fine-Tuning of Transformer Language Models,zia2022improving,high,1.0
Cross-Lingual Few-Shot Hate Speech and Offensive Language Detection Using Meta Learning,mozafari2022cross,high,1.0
Transfer language selection for zero-shot cross-lingual abusive language detection,eronen2022transfer,high,1.0
Highly Generalizable Models for Multilingual Hate Speech Detection,deshpande2022highly,high,1.0
Unsupervised Embeddings with Graph Auto-Encoders for Multi-domain and Multilingual Hate Speech Detection,sarracen2022unsupervised,high,1.0
Resources for Multilingual Hate Speech Detection,arango2022resources,high,1.0
Cross-lingual offensive speech identification with transfer learning for low-resource languages,shi2022cross,high,1.0
Data-Efficient Strategies for Expanding Hate Speech Detection into Under-Resourced Languages,rottger2022data,high,1.0
Detecting Hateful and Offensive Speech in Arabic Social Media Using Transfer Learning,boulouard2022detecting,high,1.0
Addressing the Challenges of Cross-Lingual Hate Speech Detection,bigoulaeva2022addressing,high,1.0
"An exploratory experiment on Hindi, Bengali hate-speech detection and transfer learning using neural networks",phung2022exploratory,high,1.0
A Checkpoint on Multilingual Misogyny Identification,muti2022checkpoint,high,1.0
Training Multilingual and Adversarial Attack-Robust Models for Hate Detection on Social Media,ryzhova2022training,high,1.0
Multilingual Auxiliary Tasks Training: Bridging the Gap between Languages for Zero-Shot Transfer of Hate Speech Detection Models,montariol2022multilingual,high,1.0
MACD: Multilingual Abusive Comment Detection at Scale for Indic Languages,gupta2022multilingual,high,1.0
Transfer Learning Across Arabic Dialects for Offensive Language Detection,husain2022tranfer,high,1.0
Offensive Content Detection via Synthetic Code-Switched Text,salaam2022offensive,high,1.0
A Deep Dive into Multilingual Hate Speech Classification,aluru2021deep,high,1.0
Exploring Stylometric and Emotion-Based Features for Multilingual Cross-Domain Hate Speech Detection,markov2021exploring,high,1.0
A joint learning approach with knowledge injection for zero-shot cross-lingual hate speech detection,pamungkas2021joint,high,1.0
Cross-lingual Offensive Language Identification for Low Resource Languages: The Case of Marathi,gaikwad2021cross,low,0.8
Exposing the limits of Zero-shot Cross-lingual Hate Speech Detection,nozza2021exposing,high,1.0
Multilingual Offensive Language Identification for Low-resource Languages,ranasinghe2021multilingual,high,1.0
Online Multilingual Hate Speech Detection: Experimenting with Hindi and English Social Media,vashistha2021online,high,1.0
MUDES: Multilingual Detection of Offensive Spans,ranasinghe2021mudes,high,1.0
Offensive Language Identification in Low-resourced Code-mixed Dravidian languages using Pseudo-labeling,hande2021offensive,high,1.0
Benchmarking Multi-Task Learning for Sentiment Analysis and Offensive Language Identification in Under-Resourced Dravidian Languages,hande2021benchmarking,high,1.0
Cross-Lingual Transfer Learning for Hate Speech Detection,bigoulaeva2021cross,high,1.0
An Evaluation of Multilingual Offensive Language Identification Methods for the Languages of India,ranasinghe2021evaluation,high,1.0
